"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9RJ4ED39","podcast","","","Tracking quarantine movement","","","","","https://www.dw.com/en/tracking-quarantine-movement/av-52954720","Frank Schlosser knows how Germans are reacting to quarantine. Because he watches them move. Listen to DW's science podcast for a different angle on the coronavirus — 5 minutes every day from Germany.","","2020-05-20 14:36:22","2021-10-19 12:47:42","2020-05-20 14:36:22","","","","","","","","","","","Deutsche Welle: ""Science Unscripted""","","","en_GB","","","","","","","","<p>score: 1</p>","/Users/bfmaier/Zotero/storage/JTWKXSPJ/av-52954720.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZYAYC6ZD","magazineArticle","2020","","The Effects of Physical Isolation on the Pandemic Quantified","The Scientist Magazine","","","","https://www.the-scientist.com/news-opinion/the-effects-of-physical-isolation-on-the-pandemic-quantified-67407","Social distancing measures are based on limited data. As much of the world remains stuck in lockdown, researchers are trying to measure the benefits.","2020-04-10","2020-05-20 14:32:49","2021-10-19 12:43:07","2020-05-20 14:32:49","","","","","","","","","","","","","","en","","","","","","","Library Catalog: www.the-scientist.com","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/MS4P2QDR/the-effects-of-physical-isolation-on-the-pandemic-quantified-67407.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY7AUUB8","newspaperArticle","2020","Rui, Guo","Coronavirus: China got it right by locking down Wuhan, German study says","South China Morning Post","","","","https://www.scmp.com/news/china/society/article/3079528/coronavirus-china-got-it-right-locking-down-wuhan-german-study","","2020-04-12","2020-05-20 14:32:12","2021-10-19 12:30:45","2020-05-20 14:32:12","","","","","","","","","","","","","","","","","","","","","","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/2I825IIY/coronavirus-china-got-it-right-locking-down-wuhan-german-study.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G468Z6D2","newspaperArticle","2020","Tetsch, Larissa","Bleibt zu Hause!","Laborjournal","","","","http://www.laborjournal.de/editorials/1985.php","Viele Menschen leiden unter der aktuellen Kontaktsperre Dank Modellierern des Robert KochInstituts wissen wir jetzt dass diese Maßnahme Wirkung zeigt","2020-04-20","2020-05-20 14:29:52","2021-10-19 12:28:23","2020-05-20 14:29:52","","","","","","","","","","","","","","Deutsch","","","","","","","Library Catalog: www.laborjournal.de","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/Q47FEJNR/m_1985.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZY7Q9Y6","newspaperArticle","2020","Wu, Jin; Cai, Weiyi; Watkins, Derek; Glanz, James","How the Virus Got Out","The New York Times","","0362-4331","","https://www.nytimes.com/interactive/2020/03/22/world/coronavirus-spread.html","We analyzed the movements of hundreds of millions of people to show why the most extensive travel restrictions to stop an outbreak in human history haven’t been enough.","2020-03-22","2020-05-20 14:24:20","2020-05-20 14:24:20","2020-05-20 14:24:20","","","","","","","","","","","","","","en-US","","","","","NYTimes.com","","","<p>score: 100</p>","","","","China; Coronavirus (2019-nCoV); Epidemics; Quarantines; Travel and Vacations; Travel Warnings; Wuhan (China)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","World","","","",""
"56SXXW37","newspaperArticle","2020","","Veći dio Evrope može zadesiti scenarij iz Italije","Radio Televizija BN","","","","https://www.rtvbn.com/3979664/veci-dio-evrope-moze-zadesiti-scenarij-iz-italije","Neki od najboljih svjetskih stručnjaka koji prate širenje korona virusa predviđaju da bi se veći dio Evrope za nekoliko sedmica mogao suočiti s naglim povećanjem broja slučajeva zaraženih korona virusom i situacijom sličnoj onoj u kojoj se našla Italija.","2020-03-16","2020-05-20 14:23:41","2021-10-19 12:43:48","2020-05-20 14:23:41","","","","","","","","","","","","","","","","","","","","","Library Catalog: www.rtvbn.com","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/S7E5NU3Y/veci-dio-evrope-moze-zadesiti-scenarij-iz-italije.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHU3LER9","newspaperArticle","2020","","Advierten que en pocas semanas toda Europa puede estar como Italia","La Nación","","","","https://www.lanacion.com.ar/el-mundo/advierten-pocas-semanas-toda-europa-puede-estar-nid2343119","Advierten que en pocas semanas toda Europa puede estar como Italia - LA NACION","2020-03-13","2020-05-20 14:23:30","2021-10-19 14:13:12","2020-05-20 14:23:30","","","","","","","","","","","","","","es","","","","","","","score: 0","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/EKK767Q9/advierten-pocas-semanas-toda-europa-puede-estar-nid2343119.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JC6FFIT2","newspaperArticle","2020","","Prognoze epidemiologa: Veći dio Evrope za nekoliko sedmica će zadesiti italijanski scenarij","Klix.ba","","","","https://www.klix.ba/vijesti/svijet/prognoze-epidemiologa-veci-dio-evrope-za-nekoliko-sedmica-ce-zadesiti-italijanski-scenarij/200316007","Neki od najboljih svjetskih stručnjaka koji prate širenje koronavirusa predviđaju da bi se veći dio Evrope za nekoliko sedmica mogao suočiti s naglim povećanjem broja slučajeva zaraženih koronavirusom i situacijom sličnoj onoj u kojoj se našla Italija....","2020-03-16","2020-05-20 14:23:15","2021-10-19 12:40:27","2020-05-20 14:23:15","","","","","","","Prognoze epidemiologa","","","","","","","bs-BA","","","","","","","Library Catalog: www.klix.ba","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/3VD86CV8/200316007.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6IZPXSK","newspaperArticle","2020","Portugal, Rádio e Televisão de","COVID-19. Europa à beira de se tornar uma gigantesca Itália","Rádio e Televisão de Portugal","","","","https://www.rtp.pt/noticias/mundo/covid-19-europa-a-beira-de-se-tornar-uma-gigantesca-italia_n1211891","A Europa poderá enfrentar dentro de poucas semanas uma situação semelhante à vivida atualmente em Itália, com uma explosão de casos de COVID-19, hospitais sobrecarregados e milhões de pessoas obrigadas a ficar de quarentena.","2020-03-16","2020-05-20 14:23:04","2021-10-19 12:31:08","2020-05-20 14:23:04","","","","","","","","","","","","","","pt","","","","","","","Library Catalog: www.rtp.pt","<p>score: 0</p>","/Users/bfmaier/Zotero/storage/5RZJZV4B/covid-19-europa-a-beira-de-se-tornar-uma-gigantesca-italia_n1211891.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDM38D46","newspaperArticle","2020","","Epidemiological models show Europe faces Italy-like coronavirus surges within weeks","The Independent","","","","https://www.independent.co.uk/news/world/europe/coronavirus-news-update-covid-19-mathematical-model-epidemiology-a9402131.html","‘Italy is about two weeks ahead of Britain and the rest of Europe,’ professor Francois Balloux says","2020-03-14","2020-05-20 14:22:35","2021-10-19 12:21:49","2020-05-20 14:22:35","","","","","","","","","","","","","","en","","","","","","","Library Catalog: www.independent.co.uk Section: Europe","<p>score: 20</p>","/Users/bfmaier/Zotero/storage/ZNGASNNA/coronavirus-news-update-covid-19-mathematical-model-epidemiology-a9402131.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
